user_id,description,original_category_id,corrected_category_id
68d83159665926c147c07c27,EasyPay,1,8
68d83159665926c147c07c27,Kokhman O. A.,1,7
68d83159665926c147c07c27,Magazyn Monako,1,5
68d83159665926c147c07c27,Magazin UNI,5,16
68d83159665926c147c07c27,Від: Oliinyk Olena,16,9
68d83159665926c147c07c27,Silpo,7,1
68d83159665926c147c07c27,Silpo,1,7
68d83159665926c147c07c27,Silpo,7,1
68d83159665926c147c07c27,Silpo,7,1
68d83159665926c147c07c27,Silpo,7,1
68d83159665926c147c07c27,Silpo,7,1
68d83159665926c147c07c27,Sil'po,7,1
68d83159665926c147c07c27,М'ясна імперія,7,1
68d83159665926c147c07c27,АРСЕН,,1
68d83159665926c147c07c27,АРСЕН,,1
68d83159665926c147c07c27,Від: Oliinyk Olena,,9
68d83159665926c147c07c27,Близенько,,1
68d83159665926c147c07c27,EasyPay,,8
68d83159665926c147c07c27,EasyPay,,8
68d83159665926c147c07c27,Portmone,,8
68d83159665926c147c07c27,Portmone,,8
68d83159665926c147c07c27,Аврора,,16
68d83159665926c147c07c27,EasyPay,,8
68d83159665926c147c07c27,Portmone,,8
68d83159665926c147c07c27,Близенько,,1
68d83159665926c147c07c27,Беллі,7,
68d83159665926c147c07c27,Беллі,7,
68d83159665926c147c07c27,TwoTwo,7,
68d83159665926c147c07c27,TwoTwo,7,
68d83159665926c147c07c27,TwoTwo,7,
68d83159665926c147c07c27,TwoTwo,7,
68d83159665926c147c07c27,TwoTwo,,
68d83159665926c147c07c27,TwoTwo,,
68d83159665926c147c07c27,TwoTwo,7,,Одяг,Ліки
68d83159665926c147c07c27,TwoTwo,7,,Одяг,Ліки
68d83159665926c147c07c27,TwoTwo,7,11,Одяг,Мобільний
68d83159665926c147c07c27,TwoTwo,7,11,Одяг,Мобільний
68d83159665926c147c07c27,ГУДПС у Львівській області/71040000,,9,Фінанси,Переказ
68d83159665926c147c07c27,ГУДПС у Львівській області/71040000,9,,Переказ,Фінанси
68d83159665926c147c07c27,ГУДПС у Львівській області/71040000,,,Фінанси,Податки
68d83159665926c147c07c27,Portmone,8,,Платежі/Термінали,Банк
68d83159665926c147c07c27,Portmone,,8,Банк,Платежі/Термінали
68d83159665926c147c07c27,MAGAZYN 1261,5,1,Канцтовари/Послуги,Продукти
68d83159665926c147c07c27,Portmone,,8,Інше,Платежі/Термінали
68d83159665926c147c07c27,Portmone,,8,Інше,Платежі/Термінали
68d83159665926c147c07c27,Portmone,,8,Інше,Платежі/Термінали
68d83159665926c147c07c27,Fotokhata,7,5,Одяг,Канцтовари/Послуги
68d83159665926c147c07c27,Від: Kyrnychna Nataliya,8,9,Платежі/Термінали,Переказ
68d83159665926c147c07c27,MAGAZYN 1261,5,1,Канцтовари/Послуги,Продукти
68d83159665926c147c07c27,MAGAZYN 1261,5,1,Канцтовари/Послуги,Продукти
68d83159665926c147c07c27,ГУДПС у Львівській області/71040000,8,,Платежі/Термінали,Податки
68d83159665926c147c07c27,Spotify,7,,Одяг,Підписка
68d83159665926c147c07c27,Spotify,,9,Підписка,Переказ
68d83159665926c147c07c27,Spotify,9,,Переказ,Підписка
68d83159665926c147c07c27,Spotify,,,Підписка,Фінанси
68d83159665926c147c07c27,Spotify,,,Фінанси,Підписка
68d83159665926c147c07c27,Spotify,9,,Переказ,Підписка
68d83159665926c147c07c27,Spotify,9,,Переказ,Підписка
68d83159665926c147c07c27,Spotify,9,,Переказ,Підписка
68d83159665926c147c07c27,Spotify,7,,Одяг,Підписка
68d83159665926c147c07c27,Spotify,,8,Підписка,Платежі/Термінали
68d83159665926c147c07c27,Spotify,,8,Підписка,Платежі/Термінали
68d83159665926c147c07c27,Від: Kyrnychna Nataliya,8,9,Платежі/Термінали,Переказ
68d83159665926c147c07c27,Spotify,7,8,Одяг,Платежі/Термінали
68d83159665926c147c07c27,Водафон,7,11,Одяг,Мобільний
68d83159665926c147c07c27,ГУДПС у Львівській області/71040000,8,,Платежі/Термінали,Податки
debug_user_42,Купівля ліків в аптеці TEST-LIK,0,,Інше,Ліки
debug_user_42,Купівля ліків в аптеці TEST-LIK,0,,Інше,Ліки
debug_user_42,Кава в Starbucks,0,,Інше,Кафе
68d83159665926c147c07c27,Аврора,1,,Продукти,Магазин
68d83159665926c147c07c27,Аврора,1,,Супермаркет,Магазин
68d83159665926c147c07c27,Аврора,1,,Продукти,Магазин
68d83159665926c147c07c27,Аврора,1,,Продукти,Магазин
68d83159665926c147c07c27,Аврора,,,Магазин,Податки
68d83159665926c147c07c27,Аврора,,,Податки,Магазин
68d83159665926c147c07c27,Аврора,1,,Продукти,Магазин
68d83159665926c147c07c27,Аврора,,,Магазин,Ліки
68d83159665926c147c07c27,Аврора,,,Ліки,Магазин
68d83159665926c147c07c27, Таксі болт,10,8,Транспорт,Платежі/Термінали
68d83159665926c147c07c27, Таксі болт,8,10,Платежі/Термінали,Транспорт
68d83159665926c147c07c27,Покупка ліків,7,,Одяг,Ліки
68d83159665926c147c07c27,Torba,7,1,Одяг,Продукти
68d83159665926c147c07c27,ZoomagazinBelliZoo,7,,Одяг,Зоотовари
68d83159665926c147c07c27,BABAK,7,1,Одяг,Продукти
68d83159665926c147c07c27,RUKAVICHKA 544,7,1,Одяг,Продукти
68d83159665926c147c07c27,Розум А.В.,7,9,Одяг,Переказ
68d83159665926c147c07c27,Від: Соломія Олійник,8,9,Платежі/Термінали,Переказ
68d83159665926c147c07c27,FOP Lan Mariia Mykhailivn,7,9,Одяг,Переказ
68d83159665926c147c07c27,ZoomagazinBelliZoo,,16,Зоотовари,Різне
68d83159665926c147c07c27,ZoomagazinBelliZoo,16,,Різне,Зоотовари
68d83159665926c147c07c27,ZoomagazinBelliZoo,,,Зоотовари,Фінанси
68d83159665926c147c07c27,ZoomagazinBelliZoo,,,Фінанси,Зоотовари
68d83159665926c147c07c27,ZoomagazinBelliZoo,,17,Зоотовари,Магазин
68d83159665926c147c07c27,ZoomagazinBelliZoo,,18,Магазин,Зоотовари
68d83159665926c147c07c27,ZoomagazinBelliZoo,,17,Зоотовари,Магазин
68d83159665926c147c07c27,ZoomagazinBelliZoo,,18,Магазин,Зоотовари
68d83159665926c147c07c27,ZoomagazinBelliZoo,,17,Зоотовари,Магазин
68d83159665926c147c07c27,ZoomagazinBelliZoo,,18,Магазин,Зоотовари
68d83159665926c147c07c27,ZoomagazinBelliZoo,,17,Зоотовари,Магазин
68d83159665926c147c07c27,ZoomagazinBelliZoo,,12,Магазин,Зоотовари
68d83159665926c147c07c27,ZoomagazinBelliZoo,,17,Зоотовари,Магазин
68d83159665926c147c07c27,ZoomagazinBelliZoo,,12,Магазин,Зоотовари
68d83159665926c147c07c27,Болт,7,10,Одяг,Транспорт
68d83159665926c147c07c27,Нова пошта,7,8,Одяг,Платежі/Термінали
